Time (s),Potential 1 (V),Potential 2 (V)
84.3,1.27228327228,-0.021978021978
84.4,1.28693528694,-0.026862026862
84.5,1.29181929182,-0.021978021978
84.6,1.29181929182,-0.021978021978
84.7,1.28693528694,-0.026862026862
84.8,1.29181929182,-0.021978021978
84.9,1.28693528694,-0.021978021978
85,1.28693528694,-0.021978021978
85.1,1.28693528694,-0.021978021978
85.2,1.29181929182,-0.021978021978
85.3,1.29181929182,-0.021978021978
85.4,1.29181929182,-0.021978021978
85.5,1.29181929182,-0.017094017094
85.6,1.28693528694,-0.026862026862
85.7,1.29181929182,-0.021978021978
85.8,1.29181929182,-0.026862026862
85.9,1.28693528694,-0.026862026862
86,1.28693528694,-0.021978021978
86.1,1.29181929182,-0.021978021978
86.2,1.28693528694,-0.026862026862
86.3,1.28693528694,-0.021978021978
86.4,1.30158730159,-0.021978021978
86.5,1.2967032967,-0.021978021978
86.6,1.31135531136,-0.021978021978
86.7,1.30647130647,-0.026862026862
86.8,1.30158730159,-0.026862026862
86.9,1.31135531136,-0.026862026862
87,1.32112332112,-0.026862026862
87.1,1.34554334554,-0.026862026862
87.2,1.35042735043,-0.017094017094
87.3,1.34554334554,-0.026862026862
87.4,1.34065934066,-0.026862026862
87.5,1.35042735043,-0.021978021978
87.6,1.34554334554,-0.017094017094
87.7,1.34065934066,-0.031746031746
87.8,1.34554334554,-0.026862026862
87.9,1.34554334554,-0.021978021978
88,1.34065934066,-0.026862026862
88.1,1.34554334554,-0.021978021978
88.2,1.34554334554,-0.021978021978
88.3,1.34065934066,-0.026862026862
88.4,1.35531135531,-0.021978021978
88.5,1.3601953602,-0.026862026862
88.6,1.37484737485,-0.026862026862
88.7,1.38461538462,-0.021978021978
88.8,1.40415140415,-0.021978021978
88.9,1.40415140415,-0.026862026862
89,1.39926739927,-0.017094017094
89.1,1.40415140415,-0.017094017094
89.2,1.39926739927,-0.026862026862
89.3,1.40415140415,-0.017094017094
89.4,1.39926739927,-0.026862026862
89.5,1.39926739927,-0.021978021978
89.6,1.40415140415,-0.026862026862
89.7,1.39926739927,-0.017094017094
89.8,1.39926739927,-0.026862026862
89.9,1.40415140415,-0.021978021978
90,1.39926739927,-0.026862026862
90.1,1.40415140415,-0.026862026862
90.2,1.41391941392,-0.021978021978
90.3,1.4188034188,-0.026862026862
90.4,1.43833943834,-0.021978021978
90.5,1.44322344322,-0.017094017094
90.6,1.44810744811,-0.017094017094
90.7,1.44322344322,-0.026862026862
90.8,1.44810744811,-0.01221001221
90.9,1.44322344322,-0.017094017094
91,1.44810744811,-0.021978021978
91.1,1.44322344322,-0.021978021978
91.2,1.44810744811,-0.017094017094
91.3,1.44810744811,-0.017094017094
91.4,1.44810744811,-0.017094017094
91.5,1.45299145299,-0.017094017094
91.6,1.44810744811,-0.017094017094
91.7,1.44810744811,-0.021978021978
91.8,1.45787545788,-0.01221001221
91.9,1.47741147741,-0.017094017094
92,1.4822954823,-0.01221001221
92.1,1.48717948718,-0.017094017094
92.2,1.4822954823,-0.017094017094
92.3,1.48717948718,-0.017094017094
92.4,1.49206349206,-0.01221001221
92.5,1.48717948718,-0.01221001221
92.6,1.48717948718,-0.01221001221
92.7,1.49206349206,-0.01221001221
92.8,1.4822954823,-0.021978021978
92.9,1.49206349206,-0.01221001221
93,1.49206349206,-0.01221001221
93.1,1.48717948718,-0.021978021978
93.2,1.49206349206,-0.01221001221
93.3,1.50671550672,-0.01221001221
93.4,1.52136752137,-0.00732600732601
93.5,1.52625152625,-0.01221001221
93.6,1.52625152625,-0.00732600732601
93.7,1.52625152625,-0.01221001221
93.8,1.52136752137,-0.01221001221
93.9,1.52136752137,-0.01221001221
94,1.52136752137,-0.01221001221
94.1,1.52625152625,-0.01221001221
94.2,1.52625152625,-0.01221001221
94.3,1.52625152625,-0.017094017094
94.4,1.52625152625,-0.00732600732601
94.5,1.52136752137,-0.017094017094
94.6,1.52625152625,-0.01221001221
94.7,1.52625152625,-0.01221001221
94.8,1.52625152625,-0.017094017094
94.9,1.52136752137,-0.017094017094
95,1.52625152625,-0.017094017094
95.1,1.52625152625,-0.01221001221
95.2,1.52625152625,-0.01221001221
95.3,1.53113553114,-0.00732600732601
95.4,1.52625152625,-0.01221001221
95.5,1.5409035409,-0.01221001221
95.6,1.55555555556,-0.00732600732601
95.7,1.56043956044,-0.017094017094
95.8,1.56043956044,-0.01221001221
95.9,1.55555555556,-0.00732600732601
96,1.56043956044,-0.017094017094
96.1,1.55555555556,-0.00732600732601
96.2,1.56043956044,-0.01221001221
96.3,1.56043956044,-0.01221001221
96.4,1.55555555556,-0.017094017094
96.5,1.56043956044,-0.01221001221
96.6,1.56532356532,-0.01221001221
96.7,1.55555555556,-0.01221001221
96.8,1.56043956044,-0.00732600732601
96.9,1.57509157509,-0.00732600732601
97,1.57997557998,-0.01221001221
97.1,1.57997557998,-0.00732600732601
97.2,1.58485958486,-0.00732600732601
97.3,1.60927960928,-0.017094017094
97.4,1.61904761905,-0.00732600732601
97.5,1.61904761905,-0.00732600732601
97.6,1.61416361416,-0.01221001221
97.7,1.61416361416,-0.00732600732601
97.8,1.61416361416,-0.00732600732601
97.9,1.61416361416,-0.002442002442
98,1.61904761905,-0.00732600732601
98.1,1.62393162393,-0.00732600732601
98.2,1.61416361416,-0.017094017094
98.3,1.62393162393,-0.00732600732601
98.4,1.61904761905,-0.00732600732601
98.5,1.61416361416,-0.01221001221
98.6,1.61904761905,-0.00732600732601
98.7,1.62393162393,-0.00732600732601
98.8,1.65323565324,-0.00732600732601
98.9,1.67277167277,-0.002442002442
99,1.66788766789,-0.00732600732601
99.1,1.67277167277,-0.00732600732601
99.2,1.67277167277,-0.002442002442
99.3,1.67277167277,-0.00732600732601
